LOCATION,Country,Value,GDPPerCapita
AUS,Australia,3.1,28449.71295
AUT,Austria,2.3,1444.003514
BEL,Belgium,2.4,523.0530121
CAN,Canada,3.8,1648.762676
CZE,Czechia,2.3,1809.709377
DNK,Denmark,4.5,4124.05539
FIN,Finland,2.2,39931.23626
FRA,France,3.1,6117.871507
DEU,Germany,1.4,41054.53957
GRC,Greece,21.7,12790.26414
HUN,Hungary,3.8,3679.952347
ISL,Iceland,1,13300.82461
IRL,Ireland,2.6,16449.05915
ITA,Italy,8.6,49918.79393
JPN,Japan,2.7,45307.58786
KOR,Korea,2.9,3880.685228
LUX,Luxembourg,2.2,242.5395273
MEX,Mexico,4,42012.62272
NLD,Netherlands,2.5,1049.820303
NZL,New Zealand,4.5,665.7863286
NOR,Norway,2.8,1659.962496
POL,Poland,5,7570.931655
PRT,Portugal,8.1,22867.18112
SVK,Slovak Republic,8.8,29675.53589
ESP,Spain,15.8,4917.263766
SWE,Sweden,4.4,5039.775609
TUR,Türkiye,13,6099.957102
GBR,United Kingdom,3.3,106885.8785
USA,United States,4.2,3013.502707
CHL,Chile,7,8680.736469
EST,Estonia,5.4,17381.36509
ISR,Israel,4.6,26762.03504
LVA,Latvia,6.3,2879.546564
SVN,Slovenia,5.9,6411.551666
OECD,OECD - Total,5.1,372.1354561
AUS,Australia,2.7,42315.60371
AUT,Austria,1.3,12783.18084
BEL,Belgium,2,82153.07454
CAN,Canada,2.9,58093.99606
CZE,Czechia,1.6,13788.24002
DNK,Denmark,2,8094.390167
FIN,Finland,2.2,1999.195372
FRA,France,2.1,1426.065481
DEU,Germany,1.8,456.0279506
GRC,Greece,1.8,2107.503024
HUN,Hungary,1.2,5936.261022
ISL,Iceland,2.1,1357.266229
IRL,Ireland,1.3,3312.696745
ITA,Italy,2.5,11899.81398
JPN,Japan,1.4,9805.586748
KOR,Korea,2.9,8055.925868
LUX,Luxembourg,1.7,18944.09628
MEX,Mexico,3.2,78858.28026
NLD,Netherlands,2.6,24605.34961
NZL,New Zealand,2.5,18575.23203
NOR,Norway,2.2,42136.12079
POL,Poland,2.6,2545.738799
PRT,Portugal,1.5,8223.04145
SVK,Slovak Republic,3,54663.99837
ESP,Spain,1.8,7191.069703
SWE,Sweden,2,3967.200647
CHE,Switzerland,2.3,6592.555408
TUR,Türkiye,1.5,3278.241801
GBR,United Kingdom,3.1,9856.581539
USA,United States,3.1,7075.874655
BRA,Brazil,2.2,22411.24208
CHL,Chile,1.3,6079.088736
EST,Estonia,2.7,3331.612461
ISR,Israel,2.5,35162.22836
LVA,Latvia,2.2,
SVN,Slovenia,2.5,26537.15949
OECD,OECD - Total,2.1,18295.34293
AUT,Austria,0.8,705.6175085
BEL,Belgium,0.7,31174.03387
CAN,Canada,0.2,1742.893121
CZE,Czechia,0.5,43814.02651
DNK,Denmark,0.5,5368.433492
FIN,Finland,0.4,37062.53357
FRA,France,0.5,56833.91654
DEU,Germany,0.1,3022.653627
GRC,Greece,0.4,6722.198223
HUN,Hungary,3.5,40985.23514
ISL,Iceland,0,4062.126978
IRL,Ireland,0.2,1900.397674
ITA,Italy,0.6,
JPN,Japan,6.4,720.4732552
KOR,Korea,2.5,640.6762653
LUX,Luxembourg,0.1,642.6663901
MEX,Mexico,25.9,8035.307666
NLD,Netherlands,0.1,17923.96681
NOR,Norway,0,8849.513535
POL,Poland,2.3,48181.74535
PRT,Portugal,0.9,4173.281349
SVK,Slovak Republic,1.5,35052.80791
ESP,Spain,0.3,5905.380196
SWE,Sweden,0,40428.17938
CHE,Switzerland,0,43734.19807
TUR,Türkiye,4.9,2295.53627
GBR,United Kingdom,0.5,981.8316422
USA,United States,0.1,12579.9227
BRA,Brazil,6.7,1313.186095
CHL,Chile,9.4,13104.69955
EST,Estonia,5.7,5523.361421
LVA,Latvia,11.2,4463.080644
RUS,Russia,13.8,1362.461982
SVN,Slovenia,0.2,1820.08119
ZAF,South Africa,35.9,3558.818852
OECD,OECD - Total,3,1133.380809
AUS,Australia,19.4,82041.62105
AUT,Austria,20.8,1714.279537
BEL,Belgium,20,
CAN,Canada,22.9,62784.06569
CZE,Czechia,23.4,5497.243233
DNK,Denmark,23.3,4305.202702
FIN,Finland,23.1,61987.92636
FRA,France,20.7,37690.47395
DEU,Germany,20,30960.73151
GRC,Greece,21.8,5022.700192
HUN,Hungary,19.9,4003.404746
IRL,Ireland,20.6,39375.47316
ITA,Italy,22.5,7714.841844
JPN,Japan,21.8,1562.076619
KOR,Korea,14.7,1120.667058
LUX,Luxembourg,20.7,1281.105971
MEX,Mexico,17.8,1506.231003
NLD,Netherlands,19.6,21079.52097
NZL,New Zealand,25,29280.44032
NOR,Norway,17.7,27026.68766
POL,Poland,21.2,7972.032188
PRT,Portugal,19.6,2309.049076
SVK,Slovak Republic,27.4,8172.299476
ESP,Spain,21.7,722.1312268
SWE,Sweden,20.1,7945.00605
CHE,Switzerland,21.4,10574.38658
TUR,Türkiye,18.9,8421.148077
GBR,United Kingdom,23.2,1024.22019
USA,United States,18.3,747.3186241
CHL,Chile,18.4,165845.9952
EST,Estonia,17,4107.829775
LVA,Latvia,20.8,2037.725326
RUS,Russia,17.4,4320.050193
SVN,Slovenia,18.2,994.2397641
ZAF,South Africa,18.1,8182.344735
OECD,OECD - Total,20.5,15008.31324
AUS,Australia,67,106899.2935
AUT,Austria,86,14331.75159
BEL,Belgium,56,71919.05492
CAN,Canada,78,
CZE,Czechia,77,3132.952148
DNK,Denmark,85,174412.4945
FIN,Finland,88,2847.635069
FRA,France,74,464.6161584
DEU,Germany,76,9708.141348
GRC,Greece,69,7158.049769
HUN,Hungary,74,9152.737223
ISL,Iceland,85,4153.117176
IRL,Ireland,76,4698.955699
ITA,Italy,73,5149.586764
JPN,Japan,77,750.0518091
KOR,Korea,82,25623.94163
LUX,Luxembourg,87,1218.217034
MEX,Mexico,42,3832.820485
NLD,Netherlands,83,7033.439624
NZL,New Zealand,66,3690.756778
NOR,Norway,93,24054.91561
POL,Poland,71,435.760991
PRT,Portugal,83,1579.200717
SVK,Slovak Republic,76,9965.725311
ESP,Spain,80,454.4432661
SWE,Sweden,79,9555.669593
CHE,Switzerland,86,56312.43488
TUR,Türkiye,59,4614.892075
GBR,United Kingdom,78,32286.9105
USA,United States,78,497.0361208
BRA,Brazil,45,2144.780344
CHL,Chile,41,2079.451027
EST,Estonia,79,46039.10593
ISR,Israel,80,70867.361
LVA,Latvia,72,880.2248936
RUS,Russia,64,8528.630151
SVN,Slovenia,91,40058.19616
ZAF,South Africa,40,36115.19307
OECD,OECD - Total,74,17082.2062
AUS,Australia,81,12088.90977
AUT,Austria,89,1468.822082
BEL,Belgium,66,14382.23238
CAN,Canada,88,6163.860425
CZE,Czechia,88,3038.152037
DNK,Denmark,94,16743.37674
FIN,Finland,96,2332.675888
FRA,France,78,12378.81176
DEU,Germany,83,1388.67826
GRC,Greece,79,30627.1634
HUN,Hungary,83,
ISL,Iceland,93,19991.97249
IRL,Ireland,86,5759.042198
ITA,Italy,79,3527.613824
JPN,Japan,85,3866.86186
KOR,Korea,87,41363.38587
LUX,Luxembourg,89,18726.63947
MEX,Mexico,54,58467.23557
NLD,Netherlands,95,9404.381259
NZL,New Zealand,80,8704.894531
NOR,Norway,98,728.8696189
POL,Poland,80,1675.438752
PRT,Portugal,92,19930.40754
SVK,Slovak Republic,86,2614.294434
ESP,Spain,86,1290.749971
SWE,Sweden,90,56895.65831
CHE,Switzerland,91,2196.283891
TUR,Türkiye,72,515.4478396
GBR,United Kingdom,80,3870.312982
USA,United States,88,43398.42853
BRA,Brazil,55,517.0975815
CHL,Chile,53,5765.203352
EST,Estonia,90,1525.689056
ISR,Israel,83,
LVA,Latvia,87,1526.957693
RUS,Russia,74,11169.73931
SVN,Slovenia,95,1428.257908
ZAF,South Africa,46,5705.399487
OECD,OECD - Total,82,16563.4405
AUS,Australia,54,21678.35947
AUT,Austria,82,51965.15715
BEL,Belgium,47,3339.990401
CAN,Canada,67,35703.09995
CZE,Czechia,67,15409.80463
DNK,Denmark,77,664.3416724
FIN,Finland,80,26995.03216
FRA,France,70,691.9800774
DEU,Germany,69,6666.248262
GRC,Greece,59,7670.482889
HUN,Hungary,65,792.4405509
ISL,Iceland,78,5854.463908
IRL,Ireland,67,801.39384
ITA,Italy,67,6163.253406
JPN,Japan,69,8258.066184
KOR,Korea,77,1349.546777
LUX,Luxembourg,84,3836.321689
MEX,Mexico,32,3978.437686
NLD,Netherlands,72,1675.438752
NZL,New Zealand,53,1526.957693
NOR,Norway,89,16139.10526
POL,Poland,63,3796.1096
PRT,Portugal,75,10970.04589
SVK,Slovak Republic,67,3836.073003
ESP,Spain,75,942.8890381
SWE,Sweden,68,753.6844055
CHE,Switzerland,81,2187.727539
TUR,Türkiye,45,7607.596731
GBR,United Kingdom,77,16837.94038
USA,United States,69,57866.74493
BRA,Brazil,34,2704.677189
CHL,Chile,30,7684.79284
EST,Estonia,71,
ISR,Israel,77,
LVA,Latvia,61,35324.97489
RUS,Russia,55,2760.717101
SVN,Slovenia,85,2757.203306
ZAF,South Africa,35,10215.58544
OECD,OECD - Total,66,4105.810905
AUT,Austria,1.6,3759.472855
BEL,Belgium,2.1,1069.816997
CAN,Canada,2.6,5735.066787
CZE,Czechia,1.5,1249.923143
DNK,Denmark,1.9,1421.787791
FIN,Finland,1.9,
FRA,France,1.8,
DEU,Germany,1.8,
GRC,Greece,1.2,
HUN,Hungary,1.4,
ISL,Iceland,1.6,
IRL,Ireland,2.1,
ITA,Italy,1.4,
JPN,Japan,1.9,
KOR,Korea,1.5,
LUX,Luxembourg,2,
MEX,Mexico,1.1,
NLD,Netherlands,2,
NZL,New Zealand,2.4,
NOR,Norway,2.1,
POL,Poland,1.1,
PRT,Portugal,1.7,
SVK,Slovak Republic,1.1,
ESP,Spain,1.9,
SWE,Sweden,1.7,
CHE,Switzerland,1.9,
TUR,Türkiye,1,
GBR,United Kingdom,2,
USA,United States,2.4,
CHL,Chile,1.9,
EST,Estonia,1.7,
ISR,Israel,1.2,
LVA,Latvia,1.2,
RUS,Russia,1,
SVN,Slovenia,1.6,
OECD,OECD - Total,1.7,
AUS,Australia,37433,
AUT,Austria,37001,
BEL,Belgium,34884,
CAN,Canada,34421,
CZE,Czechia,26664,
DNK,Denmark,33774,
FIN,Finland,33471,
FRA,France,34375,
DEU,Germany,38971,
GRC,Greece,20791,
HUN,Hungary,21026,
IRL,Ireland,29488,
ITA,Italy,29431,
JPN,Japan,28872,
KOR,Korea,24590,
LUX,Luxembourg,44773,
MEX,Mexico,16269,
NLD,Netherlands,34984,
NZL,New Zealand,39024,
NOR,Norway,39144,
POL,Poland,23675,
PRT,Portugal,24877,
SVK,Slovak Republic,21149,
ESP,Spain,27155,
SWE,Sweden,33730,
CHE,Switzerland,39697,
GBR,United Kingdom,33049,
USA,United States,51147,
EST,Estonia,23784,
LVA,Latvia,19783,
RUS,Russia,19546,
SVN,Slovenia,25250,
ZAF,South Africa,9338,
OECD,OECD - Total,30490,
AUS,Australia,528768,
AUT,Austria,309637,
BEL,Belgium,447607,
CAN,Canada,478240,
DNK,Denmark,149864,
FIN,Finland,230032,
FRA,France,298639,
DEU,Germany,304317,
GRC,Greece,148323,
HUN,Hungary,150296,
IRL,Ireland,370341,
ITA,Italy,295020,
JPN,Japan,294735,
KOR,Korea,362340,
LUX,Luxembourg,941162,
NLD,Netherlands,248599,
NZL,New Zealand,514162,
NOR,Norway,268358,
POL,Poland,233221,
PRT,Portugal,255303,
SVK,Slovak Republic,171425,
ESP,Spain,366534,
GBR,United Kingdom,524422,
USA,United States,684500,
CHL,Chile,135787,
EST,Estonia,188627,
LVA,Latvia,79245,
SVN,Slovenia,233286,
OECD,OECD - Total,323960,
AUS,Australia,73,
AUT,Austria,72,
BEL,Belgium,65,
CAN,Canada,70,
CZE,Czechia,74,
DNK,Denmark,74,
FIN,Finland,72,
FRA,France,65,
DEU,Germany,77,
GRC,Greece,56,
HUN,Hungary,70,
ISL,Iceland,78,
IRL,Ireland,68,
ITA,Italy,58,
JPN,Japan,77,
KOR,Korea,66,
LUX,Luxembourg,67,
MEX,Mexico,59,
NLD,Netherlands,78,
NZL,New Zealand,77,
NOR,Norway,75,
POL,Poland,69,
PRT,Portugal,69,
SVK,Slovak Republic,68,
ESP,Spain,62,
SWE,Sweden,75,
CHE,Switzerland,80,
TUR,Türkiye,48,
GBR,United Kingdom,75,
USA,United States,67,
BRA,Brazil,57,
CHL,Chile,56,
EST,Estonia,74,
ISR,Israel,67,
LVA,Latvia,72,
RUS,Russia,70,
SVN,Slovenia,71,
ZAF,South Africa,39,
OECD,OECD - Total,66,
AUS,Australia,77,
AUT,Austria,76,
BEL,Belgium,68,
CAN,Canada,73,
CZE,Czechia,81,
DNK,Denmark,77,
FIN,Finland,74,
FRA,France,68,
DEU,Germany,80,
GRC,Greece,65,
HUN,Hungary,77,
ISL,Iceland,80,
IRL,Ireland,73,
ITA,Italy,67,
JPN,Japan,84,
KOR,Korea,75,
LUX,Luxembourg,70,
MEX,Mexico,76,
NLD,Netherlands,82,
NZL,New Zealand,81,
NOR,Norway,77,
POL,Poland,76,
PRT,Portugal,72,
SVK,Slovak Republic,73,
ESP,Spain,67,
SWE,Sweden,77,
CHE,Switzerland,84,
TUR,Türkiye,65,
GBR,United Kingdom,79,
USA,United States,72,
BRA,Brazil,67,
CHL,Chile,65,
EST,Estonia,76,
ISR,Israel,69,
LVA,Latvia,73,
RUS,Russia,75,
SVN,Slovenia,74,
ZAF,South Africa,44,
OECD,OECD - Total,74,
AUS,Australia,69,
AUT,Austria,68,
BEL,Belgium,61,
CAN,Canada,67,
CZE,Czechia,67,
DNK,Denmark,71,
FIN,Finland,71,
FRA,France,62,
DEU,Germany,73,
GRC,Greece,47,
HUN,Hungary,62,
ISL,Iceland,75,
IRL,Ireland,63,
ITA,Italy,49,
JPN,Japan,71,
KOR,Korea,57,
LUX,Luxembourg,64,
MEX,Mexico,45,
NLD,Netherlands,74,
NZL,New Zealand,72,
NOR,Norway,73,
POL,Poland,61,
PRT,Portugal,67,
SVK,Slovak Republic,62,
ESP,Spain,57,
SWE,Sweden,74,
CHE,Switzerland,76,
TUR,Türkiye,30,
GBR,United Kingdom,72,
USA,United States,62,
BRA,Brazil,47,
CHL,Chile,47,
EST,Estonia,72,
ISR,Israel,65,
LVA,Latvia,70,
RUS,Russia,65,
SVN,Slovenia,68,
ZAF,South Africa,33,
OECD,OECD - Total,59,
AUS,Australia,1,
AUT,Austria,1.3,
BEL,Belgium,2.3,
CAN,Canada,0.5,
CZE,Czechia,0.6,
DNK,Denmark,0.9,
FIN,Finland,1.2,
FRA,France,2.9,
DEU,Germany,1.2,
GRC,Greece,10.8,
HUN,Hungary,1.2,
ISL,Iceland,0.7,
IRL,Ireland,1.2,
ITA,Italy,4.8,
JPN,Japan,0.8,
KOR,Korea,0,
LUX,Luxembourg,1.7,
MEX,Mexico,0.1,
NLD,Netherlands,0.9,
NZL,New Zealand,0.4,
NOR,Norway,0.9,
POL,Poland,0.6,
PRT,Portugal,2.3,
SVK,Slovak Republic,3,
ESP,Spain,5,
SWE,Sweden,1,
CHE,Switzerland,1.7,
TUR,Türkiye,3.3,
GBR,United Kingdom,0.9,
USA,United States,0.5,
EST,Estonia,1.2,
ISR,Israel,0.2,
LVA,Latvia,2.2,
RUS,Russia,1.1,
SVN,Slovenia,1.9,
ZAF,South Africa,17.9,
OECD,OECD - Total,1.3,
AUS,Australia,1,
AUT,Austria,1.5,
BEL,Belgium,2.5,
CAN,Canada,0.6,
CZE,Czechia,0.5,
DNK,Denmark,0.7,
FIN,Finland,1.3,
FRA,France,3,
DEU,Germany,1.4,
GRC,Greece,8.8,
HUN,Hungary,1.2,
ISL,Iceland,0.8,
IRL,Ireland,1.3,
ITA,Italy,4.4,
JPN,Japan,1,
KOR,Korea,0,
LUX,Luxembourg,1.6,
MEX,Mexico,0.1,
NLD,Netherlands,0.9,
NZL,New Zealand,0.4,
NOR,Norway,1,
POL,Poland,0.6,
PRT,Portugal,2.2,
SVK,Slovak Republic,3,
ESP,Spain,4.1,
SWE,Sweden,1,
CHE,Switzerland,1.6,
TUR,Türkiye,2.5,
GBR,United Kingdom,1.1,
USA,United States,0.5,
EST,Estonia,1.3,
ISR,Israel,0.2,
LVA,Latvia,2.7,
RUS,Russia,1.1,
SVN,Slovenia,1.5,
ZAF,South Africa,15.7,
OECD,OECD - Total,1.3,
AUS,Australia,1.1,
AUT,Austria,1.2,
BEL,Belgium,2.1,
CAN,Canada,0.4,
CZE,Czechia,0.6,
DNK,Denmark,1.2,
FIN,Finland,1.1,
FRA,France,2.9,
DEU,Germany,1,
GRC,Greece,13.4,
HUN,Hungary,1.1,
ISL,Iceland,0.5,
IRL,Ireland,1,
ITA,Italy,5.3,
JPN,Japan,0.5,
KOR,Korea,0,
LUX,Luxembourg,1.9,
MEX,Mexico,0.1,
NLD,Netherlands,1,
NZL,New Zealand,0.4,
NOR,Norway,0.8,
POL,Poland,0.7,
PRT,Portugal,2.4,
SVK,Slovak Republic,3,
ESP,Spain,6.1,
SWE,Sweden,1,
CHE,Switzerland,1.8,
TUR,Türkiye,4.9,
GBR,United Kingdom,0.7,
USA,United States,0.4,
EST,Estonia,1,
ISR,Israel,0.2,
LVA,Latvia,1.7,
RUS,Russia,1.1,
SVN,Slovenia,2.4,
ZAF,South Africa,20.8,
OECD,OECD - Total,1.4,
AUS,Australia,55206,
AUT,Austria,53132,
BEL,Belgium,54327,
CAN,Canada,55342,
CZE,Czechia,29885,
DNK,Denmark,58430,
FIN,Finland,46230,
FRA,France,45581,
DEU,Germany,53745,
GRC,Greece,27207,
HUN,Hungary,25409,
ISL,Iceland,67488,
IRL,Ireland,49474,
ITA,Italy,37769,
JPN,Japan,38515,
KOR,Korea,41960,
LUX,Luxembourg,65854,
MEX,Mexico,16230,
NLD,Netherlands,58828,
NZL,New Zealand,45269,
NOR,Norway,55780,
POL,Poland,32527,
PRT,Portugal,28410,
SVK,Slovak Republic,23619,
ESP,Spain,37922,
SWE,Sweden,47020,
CHE,Switzerland,64824,
GBR,United Kingdom,47147,
USA,United States,69392,
CHL,Chile,26729,
EST,Estonia,30720,
ISR,Israel,39322,
LVA,Latvia,29876,
SVN,Slovenia,41445,
OECD,OECD - Total,49165,
AUS,Australia,93,
AUT,Austria,92,
BEL,Belgium,90,
CAN,Canada,93,
CZE,Czechia,96,
DNK,Denmark,95,
FIN,Finland,96,
FRA,France,94,
DEU,Germany,90,
GRC,Greece,78,
HUN,Hungary,94,
ISL,Iceland,98,
IRL,Ireland,96,
ITA,Italy,89,
JPN,Japan,89,
KOR,Korea,80,
LUX,Luxembourg,91,
MEX,Mexico,77,
NLD,Netherlands,94,
NZL,New Zealand,95,
NOR,Norway,96,
POL,Poland,94,
PRT,Portugal,87,
SVK,Slovak Republic,95,
ESP,Spain,93,
SWE,Sweden,94,
CHE,Switzerland,94,
TUR,Türkiye,85,
GBR,United Kingdom,93,
USA,United States,94,
BRA,Brazil,83,
CHL,Chile,88,
EST,Estonia,95,
ISR,Israel,95,
LVA,Latvia,92,
RUS,Russia,89,
SVN,Slovenia,95,
ZAF,South Africa,89,
OECD,OECD - Total,91,
AUS,Australia,93,
AUT,Austria,92,
BEL,Belgium,92,
CAN,Canada,93,
CZE,Czechia,95,
DNK,Denmark,93,
FIN,Finland,94,
FRA,France,92,
DEU,Germany,91,
GRC,Greece,77,
HUN,Hungary,92,
ISL,Iceland,99,
IRL,Ireland,96,
ITA,Italy,92,
JPN,Japan,84,
KOR,Korea,74,
LUX,Luxembourg,91,
MEX,Mexico,77,
NLD,Netherlands,96,
NZL,New Zealand,95,
NOR,Norway,96,
POL,Poland,93,
PRT,Portugal,88,
